iter	RMSE
0	54714.23679
1	54051.00588
2	53463.07287
3	52872.72107
4	52353.67953
5	51867.09864
6	51334.12201
7	50886.48484
8	50356.9719
9	49836.49135
10	49389.32058
11	49014.40261
12	48566.86517
13	48077.48614
14	47662.88606
15	47239.64989
16	46985.32119
17	46654.16838
18	46317.30069
19	45986.17664
20	45640.4324
21	45330.02312
22	45081.78953
23	44786.57213
24	44538.03821
25	44196.08859
26	43937.94004
27	43756.04833
28	43534.41285
29	43287.64701
30	43129.51793
31	42962.08097
32	42766.30885
33	42595.81867
34	42460.01005
35	42297.91978
36	42153.5239
37	41976.77184
38	41806.99853
39	41686.02539
40	41570.49674
41	41463.6372
42	41264.10778
43	41092.2877
44	41003.44928
45	40836.22789
46	40705.56276
47	40531.04104
48	40408.32469
49	40275.58598
50	40169.60746
51	40085.46079
52	39939.63998
53	39877.1243
54	39790.99969
55	39682.17011
56	39616.06155
57	39558.22517
58	39474.06819
59	39369.05375
60	39299.88672
61	39230.57308
62	39172.7827
63	39060.02134
64	38967.88907
65	38868.00405
66	38767.58129
67	38691.67643
68	38593.33395
69	38489.34996
70	38415.48161
71	38375.48356
72	38321.14555
73	38228.47119
74	38150.82613
75	38105.45991
76	38069.46661
77	38018.21127
78	37963.37241
79	37881.45164
80	37814.65967
81	37777.07842
82	37696.04328
83	37662.11904
84	37607.65439
85	37557.27401
86	37527.12949
87	37464.08716
88	37441.98042
89	37370.39536
90	37313.52166
91	37284.24751
92	37230.31902
93	37184.55651
94	37135.39846
95	37096.97266
96	37054.39896
97	37013.941
98	36965.17014
99	36871.5102
100	36841.45705
101	36814.24173
102	36770.19326
103	36750.92107
104	36726.67393
105	36716.08057
106	36678.18282
107	36613.99793
108	36574.7633
109	36548.80287
110	36532.74187
111	36473.90493
112	36415.12224
113	36363.16524
114	36320.36254
115	36283.84504
116	36268.91551
117	36212.18596
118	36184.89643
119	36139.82485
120	36094.56337
121	36066.77632
122	36016.7448
123	35980.64768
124	35968.18179
125	35940.01058
126	35901.00212
127	35858.96199
128	35820.49101
129	35812.95817
130	35770.3417
131	35741.56074
132	35722.10959
133	35711.55146
134	35677.57536
135	35633.00683
136	35590.17861
137	35540.35064
138	35496.19068
139	35452.84144
140	35405.68088
141	35376.64359
142	35349.73658
143	35323.55775
144	35307.30744
145	35269.4231
146	35230.26367
147	35214.36265
148	35183.61853
149	35172.10521
150	35148.64234
151	35102.70534
152	35060.5903
153	35037.01422
154	35019.2982
155	35000.26596
156	34963.80003
157	34941.82214
158	34915.66097
159	34891.12633
160	34879.43853
161	34866.37905
162	34851.35859
163	34819.73993
164	34804.96538
165	34772.34996
166	34755.03527
167	34738.04679
168	34708.06183
169	34697.00166
170	34669.24447
171	34658.75341
172	34634.43597
173	34605.98394
174	34585.03808
175	34570.29444
176	34551.47174
177	34516.53727
178	34489.21977
179	34458.14558
180	34441.14375
181	34424.58067
182	34402.7864
183	34374.12759
184	34358.26076
185	34332.11388
186	34314.09085
187	34297.99087
188	34274.77979
189	34247.69007
190	34224.35768
191	34179.14967
192	34160.34076
193	34141.82268
194	34125.29291
195	34106.52146
196	34075.77002
197	34059.87607
198	34039.98268
199	33978.23993
200	33964.55921
201	33944.10123
202	33925.81804
203	33887.34757
204	33866.17259
205	33832.45412
206	33793.64609
207	33776.874
208	33732.07652
209	33713.35007
210	33683.91567
211	33672.52819
212	33635.73556
213	33598.59191
214	33564.84263
215	33534.44485
216	33506.16797
217	33481.21037
218	33443.74068
219	33418.2538
220	33389.81674
221	33375.33316
222	33359.09713
223	33339.5755
224	33323.0715
225	33285.87227
226	33261.92237
227	33242.7854
228	33223.05866
229	33203.38
230	33166.82489
231	33138.90942
232	33124.98005
233	33084.50451
234	33048.73278
235	33012.05137
236	33001.39184
237	32970.93025
238	32955.76952
239	32937.16868
240	32921.00366
241	32906.71691
242	32883.4717
243	32854.31096
244	32810.18787
245	32800.74112
246	32785.5985
247	32775.8218
248	32738.1487
249	32715.29883
250	32687.45214
251	32676.39975
252	32662.29289
253	32646.71151
254	32617.83595
255	32607.21451
256	32597.33534
257	32583.77592
258	32570.03551
259	32560.89304
260	32539.80562
261	32508.66799
262	32496.79453
263	32456.30501
264	32444.92269
265	32436.0677
266	32399.99557
267	32391.34539
268	32381.69921
269	32373.37655
270	32343.20977
271	32334.57295
272	32323.06781
273	32293.17828
274	32264.2627
275	32235.24026
276	32188.97036
277	32173.6225
278	32165.56785
279	32154.74905
280	32143.28016
281	32135.14021
282	32123.90127
283	32090.41973
284	32062.20962
285	32032.90988
286	32005.44279
287	31997.60249
288	31972.45534
289	31948.99881
290	31942.01121
291	31935.15863
292	31908.42966
293	31882.0549
294	31851.03204
295	31838.69184
296	31830.34734
297	31822.6632
298	31792.45938
299	31781.78691
300	31775.26638
301	31748.9006
302	31742.46825
303	31724.15331
304	31711.74352
305	31704.80239
306	31657.55087
307	31632.16518
308	31574.48795
309	31563.84767
310	31542.43725
311	31535.59599
312	31511.43137
313	31487.85513
314	31454.42284
315	31436.47293
316	31426.69782
317	31409.1995
318	31387.45769
319	31376.87829
320	31365.88918
321	31358.57469
322	31351.82641
323	31323.5136
324	31301.31157
325	31295.61229
326	31287.92143
327	31282.14417
328	31276.68303
329	31271.08784
330	31252.93731
331	31246.87548
332	31231.20375
333	31210.87194
334	31202.16609
335	31162.53182
336	31156.56138
337	31150.68865
338	31141.67538
339	31113.54353
340	31086.40432
341	31078.72565
342	31058.08752
343	31031.73404
344	31005.06658
345	30984.51292
346	30967.8019
347	30941.88959
348	30932.97093
349	30914.57267
350	30909.46026
351	30900.26498
352	30891.99525
353	30880.50642
354	30866.35396
355	30848.52319
356	30843.4959
357	30818.94769
358	30798.16305
359	30792.50889
360	30774.87169
361	30769.06765
362	30750.36192
363	30713.42022
364	30708.05822
365	30694.38245
366	30687.44527
367	30679.0468
368	30670.10573
369	30664.78918
370	30648.45717
371	30643.53744
372	30638.70992
373	30631.65437
374	30626.93109
375	30615.00413
376	30596.21473
377	30570.77662
378	30549.97052
379	30542.34389
380	30517.54773
381	30497.75962
382	30469.68726
383	30464.60081
384	30433.34345
385	30406.23205
386	30373.22736
387	30366.73511
388	30351.60341
389	30332.81756
390	30316.58907
391	30311.25617
392	30303.59653
393	30260.83651
394	30245.01987
395	30229.19987
396	30205.96492
397	30201.63368
398	30187.43948
399	30168.97732
400	30128.63581
401	30113.27041
402	30102.35763
403	30087.35036
404	30071.72212
405	30053.21354
406	30048.18535
407	30043.25461
408	30029.25105
409	30015.57576
410	30011.25643
411	30004.32099
412	29997.54738
413	29973.1313
414	29957.20387
415	29943.96589
416	29918.84407
417	29902.7284
418	29896.04078
419	29890.1346
420	29870.77898
421	29860.631
422	29846.40429
423	29840.22101
424	29830.13872
425	29823.13486
426	29818.26699
427	29804.40822
428	29799.98092
429	29795.32323
430	29780.44552
431	29776.40013
432	29760.12586
433	29740.27748
434	29724.76798
435	29718.49053
436	29710.31259
437	29702.97764
438	29698.06545
439	29680.83873
440	29674.03953
441	29667.2023
442	29654.89258
443	29644.20942
444	29637.49339
445	29632.85732
446	29629.14816
447	29625.05083
448	29613.76755
449	29609.69913
450	29585.49091
451	29573.47022
452	29569.2132
453	29561.42553
454	29542.07385
455	29537.97846
456	29534.29923
457	29530.7852
458	29519.28029
459	29509.27249
460	29498.01972
461	29487.73168
462	29457.93605
463	29444.7975
464	29406.13006
465	29387.49121
466	29383.59856
467	29379.52592
468	29362.92052
469	29355.3943
470	29341.71003
471	29327.69764
472	29323.563
473	29316.29642
474	29306.12202
475	29299.24146
476	29295.46004
477	29281.50876
478	29269.38531
479	29262.58362
480	29250.03734
481	29219.34471
482	29215.16965
483	29211.33983
484	29205.7422
485	29200.78894
486	29173.16053
487	29161.927
488	29158.30614
489	29154.74328
490	29149.68191
491	29135.28322
492	29131.49436
493	29116.03756
494	29112.66291
495	29094.43851
496	29089.50472
497	29086.47663
498	29070.37532
499	29050.27498
500	29046.63618
501	29033.88236
502	29028.36085
503	29019.83193
504	28981.24957
505	28975.75341
506	28972.2859
507	28954.84453
508	28943.85578
509	28940.67714
510	28932.74466
511	28920.5331
512	28914.56356
513	28900.95513
514	28897.57077
515	28892.40634
516	28886.88888
517	28881.75766
518	28851.44014
519	28841.97917
520	28832.10177
521	28828.68925
522	28825.43027
523	28814.33118
524	28811.19405
525	28807.81558
526	28804.4991
527	28792.52724
528	28781.70809
529	28767.54289
530	28759.91503
531	28741.86322
532	28716.24227
533	28712.79784
534	28709.74398
535	28704.65433
536	28701.75153
537	28698.87303
538	28694.25216
539	28682.90018
540	28679.80651
541	28669.93737
542	28659.25846
543	28656.14853
544	28650.72812
545	28643.95541
546	28640.63607
547	28635.73439
548	28615.58423
549	28582.5065
550	28554.66435
551	28538.61537
552	28535.3264
553	28517.75736
554	28514.92104
555	28510.95937
556	28497.39383
557	28494.81062
558	28492.22919
559	28489.50261
560	28481.36623
561	28478.75784
562	28467.25149
563	28436.13364
564	28431.68027
565	28427.65283
566	28417.38742
567	28409.04934
568	28400.66866
569	28396.19968
570	28385.02699
571	28382.20238
572	28368.49109
573	28362.11004
574	28356.66417
575	28350.66482
576	28337.22388
577	28334.77703
578	28328.08848
579	28324.62999
580	28305.29234
581	28297.93948
582	28282.78599
583	28280.05855
584	28276.8482
585	28265.67771
586	28259.11996
587	28256.15457
588	28253.51278
589	28250.78682
590	28238.97559
591	28234.88187
592	28232.3884
593	28224.00525
594	28217.6628
595	28211.0935
596	28190.146
597	28187.15206
598	28184.53581
599	28181.96759
600	28178.07607
601	28165.08858
602	28153.82058
603	28150.05165
604	28145.88088
605	28143.70656
606	28141.13338
607	28137.0666
608	28134.49195
609	28128.31904
610	28117.01223
611	28113.32348
612	28110.45119
613	28108.15432
614	28103.35724
615	28099.46933
616	28090.48016
617	28081.47097
618	28069.18407
619	28062.28595
620	28053.40161
621	28051.30049
622	28047.58253
623	28040.92344
624	28038.27255
625	28035.84629
626	28027.94274
627	28021.52725
628	28012.9416
629	28010.01275
630	28007.78706
631	27998.04903
632	27995.73642
633	27993.31816
634	27991.79294
635	27987.51878
636	27982.47277
637	27968.25921
638	27956.84794
639	27945.23457
640	27931.17642
641	27928.73794
642	27916.87599
643	27912.99004
644	27910.61225
645	27908.56965
646	27906.16962
647	27897.10225
648	27894.40827
649	27889.17831
650	27887.28176
651	27874.73125
652	27872.06031
653	27868.59499
654	27866.38291
655	27863.65682
656	27858.45964
657	27850.92982
658	27846.05871
659	27840.72042
660	27820.03739
661	27816.60276
662	27814.28468
663	27811.993
664	27809.48745
665	27784.10471
666	27776.72234
667	27771.79022
668	27760.45148
669	27755.65421
670	27753.5893
671	27748.4103
672	27742.87799
673	27735.04831
674	27733.30852
675	27729.94256
676	27728.13574
677	27720.31557
678	27717.1705
679	27707.75884
680	27706.15475
681	27695.16957
682	27684.46891
683	27682.71457
684	27680.55153
685	27677.03578
686	27675.0561
687	27649.74155
688	27646.37254
689	27644.20384
690	27641.93988
691	27638.77283
692	27628.39074
693	27625.56471
694	27623.6979
695	27622.29655
696	27620.4192
697	27612.32675
698	27609.61165
699	27607.3413
700	27603.28638
701	27600.52884
702	27598.80605
703	27592.24558
704	27565.90011
705	27563.86362
706	27562.00624
707	27560.1526
708	27555.10448
709	27546.28963
710	27534.46909
711	27532.62517
712	27526.07533
713	27516.49335
714	27513.64575
715	27506.43271
716	27502.64659
717	27500.79449
718	27496.46238
719	27494.51066
720	27492.48928
721	27490.77012
722	27479.8647
723	27478.37982
724	27476.42129
725	27461.70187
726	27442.98883
727	27441.23065
728	27437.96645
729	27436.24621
730	27434.7949
731	27427.40608
732	27420.70895
733	27419.15951
734	27417.60197
735	27415.57949
736	27413.78675
737	27406.8787
738	27404.24818
739	27402.83425
740	27400.85533
741	27397.42253
742	27395.06861
743	27389.77112
744	27386.92208
745	27378.81459
746	27369.42196
747	27367.12244
748	27363.51965
749	27362.34193
750	27360.68038
751	27355.32704
752	27353.53573
753	27349.04212
754	27340.91088
755	27335.05905
756	27330.00781
757	27328.42774
758	27324.18409
759	27307.55217
760	27305.3811
761	27303.91464
762	27301.49113
763	27278.55581
764	27276.89612
765	27270.29217
766	27268.6528
767	27263.28194
768	27261.65947
769	27249.45384
770	27245.31886
771	27239.66342
772	27235.07559
773	27226.73635
774	27219.38802
775	27201.15873
776	27188.20651
777	27182.43392
778	27175.51806
779	27169.44449
780	27164.26031
781	27157.32038
782	27155.91826
783	27147.24225
784	27145.52694
785	27143.30797
786	27142.04405
787	27132.15388
788	27123.55324
789	27114.32139
790	27110.027
791	27108.95452
792	27106.90233
793	27100.1558
794	27097.65969
795	27091.51921
796	27087.59101
797	27085.46095
798	27083.86999
799	27082.53257
800	27081.18077
801	27079.80785
802	27075.93633
803	27074.37664
804	27072.75784
805	27061.22962
806	27059.83374
807	27054.84347
808	27053.46325
809	27052.14117
810	27049.94515
811	27044.78052
812	27042.99809
813	27036.05552
814	27034.60743
815	27022.49914
816	27011.18954
817	26996.69313
818	26995.43601
819	26978.30941
820	26972.23619
821	26965.59187
822	26959.75735
823	26958.20897
824	26956.53349
825	26951.17725
826	26949.72194
827	26945.7364
828	26938.68686
829	26934.55718
830	26927.75057
831	26916.43739
832	26912.88403
833	26910.71896
834	26908.81446
835	26905.00874
836	26902.60778
837	26896.49679
838	26889.16342
839	26871.43421
840	26869.98074
841	26867.88288
842	26860.5777
843	26858.63198
844	26857.32114
845	26851.4367
846	26847.71521
847	26839.87892
848	26827.5048
849	26826.23514
850	26825.11307
851	26819.03719
852	26816.81195
853	26811.25072
854	26804.16202
855	26800.55493
856	26799.2954
857	26796.24229
858	26793.61516
859	26787.15842
860	26779.73711
861	26774.39906
862	26773.31348
863	26768.40969
864	26765.97688
865	26762.34064
866	26757.29212
867	26752.3893
868	26751.25975
869	26745.2986
870	26741.68809
871	26740.48518
872	26721.07593
873	26719.9097
874	26718.68748
875	26716.70491
876	26715.38352
877	26711.68374
878	26701.48908
879	26696.93478
880	26693.94622
881	26691.97818
882	26688.0087
883	26686.59519
884	26684.93319
885	26683.60573
886	26680.77445
887	26675.13077
888	26670.3382
889	26664.86967
890	26663.72714
891	26660.75318
892	26659.77975
893	26658.76128
894	26657.5754
895	26656.73705
896	26656.0203
897	26654.94828
898	26654.05415
899	26650.15735
900	26649.16597
901	26648.25088
902	26633.12427
903	26628.99506
904	26619.64311
905	26616.75481
906	26612.70654
907	26611.23694
908	26609.53785
909	26608.62293
910	26606.06566
911	26604.86204
912	26602.95473
913	26602.09705
914	26600.72892
915	26597.51531
916	26594.55678
917	26590.62933
918	26586.31654
919	26579.45608
920	26578.26557
921	26575.54048
922	26569.61928
923	26562.52599
924	26561.76694
925	26558.42361
926	26555.1177
927	26554.28358
928	26553.49128
929	26552.54698
930	26550.945
931	26548.68159
932	26536.0169
933	26530.89886
934	26529.82078
935	26526.01372
936	26525.2471
937	26524.15737
938	26519.78904
939	26518.78132
940	26516.70617
941	26515.1841
942	26501.51184
943	26494.70654
944	26493.83389
945	26492.8383
946	26491.59307
947	26487.80941
