iter	Passed	Remaining
0	67	67040
1	67	33873
2	68	22756
3	68	17167
4	69	13777
5	69	11563
6	70	9989
7	70	8802
8	71	7882
9	72	7142
10	72	6543
11	73	6046
12	74	5620
13	74	5253
14	75	4942
15	75	4665
16	76	4423
17	77	4207
18	77	4012
19	78	3837
20	78	3679
21	79	3535
22	80	3402
23	80	3282
24	81	3173
25	81	3071
26	82	2975
27	83	2889
28	83	2806
29	84	2729
30	85	2658
31	85	2589
32	86	2527
33	86	2462
34	87	2400
35	87	2346
36	88	2295
37	88	2247
38	89	2201
39	89	2158
40	90	2117
41	91	2079
42	91	2042
43	92	2006
44	92	1972
45	93	1940
46	94	1908
47	94	1879
48	95	1850
49	95	1823
50	96	1796
51	97	1770
52	97	1745
53	98	1719
54	98	1696
55	99	1675
56	99	1654
57	100	1630
58	100	1609
59	101	1590
60	101	1569
61	102	1551
62	103	1534
63	103	1517
64	104	1501
65	104	1485
66	105	1470
67	106	1455
68	106	1441
69	107	1428
70	108	1414
71	108	1401
72	109	1387
73	109	1374
74	110	1362
75	111	1350
76	111	1338
77	112	1327
78	112	1316
79	113	1305
80	114	1294
81	114	1281
82	115	1271
83	115	1261
84	116	1252
85	116	1242
86	117	1231
87	117	1222
88	118	1210
89	118	1201
90	119	1193
91	120	1184
92	120	1176
93	121	1168
94	121	1161
95	122	1152
96	123	1145
97	123	1138
98	124	1130
99	124	1123
100	125	1114
101	125	1107
102	126	1099
103	126	1093
104	127	1085
105	127	1076
106	128	1070
107	128	1064
108	129	1059
109	130	1053
110	130	1046
111	131	1041
112	131	1035
113	132	1029
114	133	1024
115	133	1019
116	134	1013
117	134	1008
118	135	1005
119	136	1000
120	137	995
121	137	990
122	138	985
123	138	980
124	139	975
125	140	971
126	140	966
127	141	962
128	141	957
129	142	954
130	143	949
131	144	947
132	144	944
133	145	940
134	146	936
135	146	932
136	147	928
137	147	924
138	148	920
139	149	916
140	149	912
141	150	908
142	150	904
143	151	900
144	151	895
145	152	891
146	153	888
147	153	884
148	154	881
149	154	876
150	155	873
151	155	869
152	156	865
153	156	861
154	157	858
155	157	854
156	158	851
157	159	847
158	159	844
159	160	840
160	160	836
161	161	833
162	161	830
163	162	828
164	163	825
165	163	823
166	164	820
167	165	818
168	165	815
169	166	812
170	166	809
171	167	806
172	167	803
173	168	799
174	169	797
175	169	794
176	170	791
177	170	788
178	171	786
179	171	783
180	172	780
181	172	777
182	173	774
183	174	771
184	174	769
185	175	766
186	175	763
187	176	760
188	176	757
189	177	755
190	177	752
191	178	750
192	178	748
193	179	745
194	180	743
195	180	740
196	181	738
197	181	735
198	182	733
199	182	731
200	183	729
201	184	727
202	184	725
203	185	723
204	185	720
205	186	718
206	187	716
207	187	714
208	188	712
209	188	710
210	189	707
211	189	705
212	190	704
213	191	702
214	191	700
215	192	697
216	192	695
217	193	693
218	193	691
219	194	689
220	195	687
221	195	685
222	196	683
223	196	681
224	197	680
225	198	678
226	198	676
227	199	674
228	199	672
229	200	670
230	200	668
231	201	666
232	201	664
233	202	662
234	203	660
235	203	659
236	204	657
237	204	656
238	205	654
239	205	652
240	206	650
241	206	648
242	207	646
243	208	644
244	208	642
245	209	640
246	209	639
247	210	637
248	210	636
249	211	634
250	212	632
251	212	630
252	213	629
253	213	627
254	214	626
255	214	624
256	215	622
257	216	621
258	216	620
259	217	618
260	217	617
261	218	615
262	219	614
263	219	612
264	220	611
265	221	610
266	221	609
267	222	607
268	223	606
269	223	604
270	224	603
271	224	601
272	225	600
273	226	599
274	226	597
275	227	596
276	227	595
277	228	593
278	229	592
279	229	590
280	230	589
281	231	588
282	231	587
283	232	585
284	233	584
285	233	583
286	234	582
287	234	580
288	235	579
289	236	577
290	236	576
291	237	575
292	237	573
293	238	572
294	239	571
295	239	569
296	240	568
297	240	567
298	241	565
299	241	564
300	242	563
301	243	561
302	243	560
303	244	559
304	244	557
305	245	556
306	245	554
307	246	553
